city_name_he;city_name_en
ערערה-בנגב;Ar'ara-BaNegev
עין הבשור;En HaBesor
בית עזרא;Bet Ezra
ערוגות;Arugot
אבו תלול;Abu Tulul                                         
מדרשת בן גוריון;Midreshet Ben Gurion
סעוה;Sa'Wa
עין השלושה;En HaShelosha
לקיה;Laqye
תלמי יוסף;Talme Yosef
אום בטין;Umm Batin
גרופית;Gerofit
להבים;Lehavim 
איתן;Etan
באר שבע;Be'er Sheva
גברעם;Gevar'am
תלמי אליהו;Talme Eliyyahu
נאות סמדר;Ne'ot Smadar
הר עמשא;Har Amasa
שיבולים;Shibbolim 
איבים;Ibbim
אחווה;Ahawa
מבטחים;Mivtahim 
תאשור;Te'ashur
עין גדי;En Gedi
נאות הכיכר;Ne'ot HaKikkar
זיקים;Ziqim
חצבה;Hazeva
אבשלום;Avshalom
שקף;Sheqef
ורדון;Wardon
ספיר;Sappir
שרשרת;Sharsheret
באר אורה;Be'er Ora
חולית;Holit
כפר ורבורג;Kefar Warburg
ניצנה (קהילת חינוך);Nizzana (Qehilat Hinuh)
נווה זוהר;Newe Zohar
גבעתי;Giv'ati
בארי;Be'eri
כוכב מיכאל;Kokhav Mikha'el 
כפר סילבר;Kefar Silver
כרם שלום;Kerem Shalom
אוהד;Ohad
אילת;Elat
רוחמה;Ruhama
תלמי יחיאל;Talme Yehi'el
נגבה;Negba
גיאה;Ge'a
אליפז;Elifaz
מצפה רמון;Mizpe Ramon
אמונים;Emunim
נבטים;Nevatim 
ירוחם;Yeroham
משען;Mash'en 
ערד;Arad
נהורה;Nehora
עומר;Omer
אורות;Orot
צופר;Zofar
אילות;Elot
שדה בוקר;Sede Boqer
מלילות;Melilot
משאבי שדה;Mash'abbe Sade
שדרות;Sederot
מבקיעים;Mavqi'im
כנות;Kannot
חלץ;Helez
ניצן ב';Nizzan B
ניצני סיני;Nizzane Sinay
גבולות;Gevulot
נועם;No'am
רביבים;Revivim 
כפר מימון;Kefar Maymon
אופקים;Ofaqim
זוהר;Zohar
גבעולים;Giv'olim
שדי אברהם;Sede Avraham
ניר עוז;Nir Oz
אשל הנשיא;Eshel HaNasi
דימונה;Dimona
צאלים;Ze'elim
יבול;Yevul
ברור חיל;Beror Hayil
מרחב עם;Merhav Am
מגן;Magen 
בית שקמה;Bet Shiqma
מיתר;Metar
כחלה;Kochlea
נירים;Nirim
שלומית;Shlomit                                           
תרבין א-צאנע (יישוב)*;Tarabin As-Sani
אמציה;Amazya
אל -עזי;Al-Azy
סמר;Samar
שדה ניצן;Sede Nizzan
כרמים;Keramim
אחוזם;Ahuzzam
שלווה;Shalwa
נתיב הגדוד;Netiv HaGedud
גבעון החדשה;Giv'on HaHadasha
גלגל;Gilgal
גבע בנימין;Geva Binyamin
ענב;Enav
רועי;Ro'i
אריאל;Ari'el
ברכה;Berakha
אורנית;Oranit
פצאל;Peza'el
צופים;Zufim
מעלה אדומים;Ma'ale Adummim 
מעלה לבונה;Ma'ale Levona
ראש צורים;Rosh Zurim
אספר;Asfar
משואה;Massu'a
הר גילה;Har Gillo
טנא;Tene
"נעמ""ה";Na'ama
בית אל;Bet El
נופים;Nofim
גבעת זאב;Giv'at Ze'ev
רימונים;Rimmonim 
כפר עציון;Kefar Ezyon
קרני שומרון;Qarne Shomeron
טלמון;Talmon
עטרת;Ateret
תלם;Telem
מגדלים;Migdalim 
מבוא דותן;Mevo Dotan
משכיות;Maskiyyot
כוכב השחר;Kokhav HaShahar
קדר;Qedar
תומר;Tomer
חמדת;Hemdat
סוסיה;Suseya
יקיר;Yaqir
סלעית;Sal'it
כפר תפוח;Kefar Tappuah
עלי זהב;Ale Zahav
קליה;Qalya
"ייט""ב";Yitav
נגוהות;Negohot
שקד;Shaqed
בית הערבה;Bet HaArava
מעלה מכמש;Ma'ale Mikhmas
חשמונאים;Hashmona'im
גיתית;Gittit
נווה צוף;Neve Tsuf
נווה דניאל;Newe Daniyyel
עץ אפרים;Ez Efrayim
שילה;Shilo
עלי;Eli
עתניאל;Otni'el
כפר האורנים;Kefar HaOranim
כרמי צור;Karme Zur
אבני חפץ;Avne Hefez
אלון מורה;Elon More   
כפר אדומים;Kefar Adummim
פסגות;Pesagot
נוקדים;Noqedim
מבוא חורון;Mevo Horon 
שבי שומרון;Shave Shomeron
יצהר;Yizhar
מעלה שומרון;Ma'ale Shomeron
עמנואל;Immanu'el
פדואל;Pedu'el
רבבה;Revava
מצפה יריחו;Mizpe Yeriho
אדורה;Adora
אלעזר;El'azar
בית אריה-עופרים;Bet Arye-Ofarim
דולב;Dolev
בית חורון;Bet Horon
עלמון;Almon
יפית;Yafit
מצפה שלם;Mizpe Shalem
מעלה עמוס;Ma'ale Amos
מצדות יהודה;Mezadot Yehuda
אלפי מנשה;Alfe Menashe
אלקנה;Elqana
נעלה;Na'ale
תקוע;Teqoa
איתמר;Itamar
קדומים;Qedumim
פני חבר;Pene Hever
"ניל""י";Nili
ברקן;Barqan
שערי תקווה;Sha'are Tiqwa
בת עין;Bat Ayin
חגי;Haggay
חיננית;Hinnanit
מעלה אפרים;Ma'ale Efrayim
כוכב יעקב;Kokhav Ya'aqov
הר אדר;Har Adar
שדמות מחולה;Shadmot Mehola
אלמוג;Almog
רותם;Rotem
אבנת;Avenat
עפרה;Ofra
ריחן;Rehan 
כרמל;Karmel
אלון שבות;Allon Shevut
קריית נטפים;Qiryat Netafim
ורד יריחו;Wered Yeriho
חמרה;Hamra
מגדל עוז;Migdal Oz
אשכולות;Eshkolot
מודיעין עילית;Modi'in Illit
נחליאל;Nahali'el
מכורה;Mekhora
קריית ארבע;Qiryat Arba
בקעות;Beqa'ot
שמעה;Shim'a
ביתר עילית;Betar Illit
נערן;Na'aran
אפרת;Efrat
ארגמן;Argaman
מחולה;Mehola
מעון;Ma'on
מתתיהו;Mattityahu
אבירים;Abbirim
אבו גוש;Abu Ghosh
אדרת;Adderet
עדי;Adi
אדורה;Adora
אפק;Afeq
עפולה;Afula
אחווה;Ahawa
אחיעזר;Ahi'ezer
אחיהוד;Ahihud
אחיסמך;Ahisamakh
אחיטוב;Ahituv
אחוזם;Ahuzzam
עכו;Akko
עלי זהב;Ale Zahav
אלפי מנשה;Alfe Menashe
אלון שבות;Allon Shevut
אלונים;Allonim
עלמון;Almon
אלומה;Alumma
אמירים;Amirim
עמינדב;Amminadav
עמיקם;Ammiqam
אמנון;Amnun
עמקה;Amqa
עמוקה;Amuqqa
אניעם;Ani'am
ערד;Arad
ארבל;Arbel
אריאל;Ari'el
ארסוף;Arsuf
ערוגות;Arugot
עשרת;Aseret
אשלים;Ashalim
אשדוד;Ashdod
אשקלון;Ashqelon
עתלית;Atlit
עצמון שגב;Atsmon Segev
עבדון;Avdon
אביאל;Avi'el
אביעזר;Avi'ezer
אביחיל;Avihayil
אבני חפץ;Avne Hefez
אבטליון;Avtalyon
עזריה;Azarya
אזור;Azor
עזריאל;Azri'el
עזריקם;Azriqam
בחן;Bahan
בלפוריה;Balfurya
בר יוחאי;Bar Yohay
ברק;Baraq
ברקת;Bareqet
ברקן;Barqan
ברקאי;Barqay
בסמת טבעון;Basmat Tab'un
בת עין;Bat Ayin
בת הדר;Bat Hadar
בת חפר;Bat Hefer
בת חן;Bat Hen
בת שלמה;Bat Shelomo
בת ים;Bat Yam
בצרה;Bazra
באר אורה;Be'er Ora
באר שבע;Be'er Sheva
באר טוביה;Be'er Toviyya
באר יעקב;Be'er Ya'aqov
בן עמי;Ben Ammi
בן זכאי;Ben Zakkay
בניה;Benaya
בני עטרות;Bene Atarot
"בני עי""ש";Bene Ayish
בני ברק;Bene Beraq
בני דרום;Bene Darom
בני דרור;Bene Deror
בני ראם;Bene Re'em
בני ציון;Bene Ziyyon
בקוע;Beqoa
ברכה;Berakha
ברור חיל;Beror Hayil
בית עריף;Bet Arif
בית ברל;Bet Berl
בית דגן;Bet Dagan
בית אל;Bet El
בית אלעזרי;Bet El'azari
בית עזרא;Bet Ezra
בית גמליאל;Bet Gamli'el
בית הגדי;Bet HaGaddi
בית חנן;Bet Hanan
בית חנניה;Bet Hananya
בית השיטה;Bet HaShitta
בית חשמונאי;Bet Hashmonay
בית הלל;Bet Hillel
בית חורון;Bet Horon
בית נחמיה;Bet Nehemya
בית נקופה;Bet Neqofa
בית קמה;Bet Qama
בית קשת;Bet Qeshet
בית שאן;Bet She'an 
בית שמש;Bet Shemesh
בית יהושע;Bet Yehoshua
בית יוסף;Bet Yosef
בית זית;Bet Zayit
ביתר עילית;Betar Illit
בטחה;Bitha
ביצרון;Bizzaron
בורגתה;Burgeta
בוסתן הגליל;Bustan HaGalil
דברת;Daverat
דבירה;Devira
דבורה;Devora
דימונה;Dimona
דישון;Dishon
דולב;Dolev
אפרת;Efrat
אלעד;El'ad
אלעזר;El'azar
אילת;Elat
עלי;Eli
אליפלט;Elifelet
אלישמע;Elishama
אילון;Elon
אלון מורה;Elon More   
אלקנה;Elqana
אליכין;Elyakhin
אליקים;Elyaqim
אלישיב;Elyashiv
אמונים;Emunim
עין איילה;En Ayyala
עין עירון;En Iron
עין שריד;En Sarid
עין תמר;En Tamar
עין ורד;En Wered
עין יעקב;En Ya'aqov
עין יהב;En Yahav
עינת;Enat
אשבול;Eshbol
אשחר;Eshhar
אבן מנחם;Even Menahem
אבן ספיר;Even Sappir
אבן שמואל;Even Shemu'el
אבן יהודה;Even Yehuda
עץ אפרים;Ez Efrayim
געש;Ga'ash
גדיש;Gadish
גן הדרום;Gan HaDarom
גן השומרון;Gan HaShomeron
גן חיים;Gan Hayyim
גן נר;Gan Ner
גן שורק;Gan Soreq
גן יבנה;Gan Yavne
גן יאשיה;Gan Yoshiyya
גני טל;Ganne Tal                                         
גני תקווה;Ganne Tiqwa
גני יוחנן;Ganne Yohanan
גנות הדר;Gannot Hadar
גיאה;Ge'a
גאליה;Ge'alya
גאולי תימן;Ge'ule Teman
גאולים;Ge'ulim
גדרה;Gedera
גבע כרמל;Geva  Karmel
גבעות בר;Geva'ot Bar
גיבתון;Gibbeton
גילת;Gilat
גילון;Gilon
גינתון;Ginnaton
גיניגר;Ginnegar
גבעת אבני;Giv'at Avni
גבעת ברנר;Giv'at Brenner
גבעת אלה;Giv'at Ela
"גבעת ח""ן";Giv'at Hen
"גבעת כ""ח";Giv'at Koah
"גבעת ניל""י";Giv'at Nili
גבעת שמואל;Giv'at Shemu'el
גבעת יערים;Giv'at Ye'arim
גבעת ישעיהו;Giv'at Yesha'yahu
גבעת זאב;Giv'at Ze'ev
גבעתיים;Giv'atayim
גבעתי;Giv'ati
גבעון החדשה;Giv'on HaHadasha
גיזו;Gizo
גורנות הגליל;Gornot HaGalil
הדר עם;Hadar Am 
חדרה;Hadera
חדיד;Hadid
חגור;Hagor
הגושרים;HaGosherim
חיפה;Haifa
חלוץ;Haluz
חמדיה;Hamadya
חניתה;Hanita
חניאל;Hanni'el
הר אדר;Har Adar
הר גילה;Har Gillo
חריש;Harish
חרוצים;Haruzim
חשמונאים;Hashmona'im
הסוללים;HaSolelim 
חבצלת השרון;Havazzelet HaSharon
היוגב;HaYogev
חצב;Hazav
חזון;Hazon
חצור הגלילית;Hazor HaGelilit
הזורעים;HaZore'im
חלץ;Helez
חרב לאת;Herev Le'Et
חבר;Hever
חיבת ציון;Hibbat Ziyyon
הילה;Hilla
הוד השרון;Hod HaSharon
חופית;Hofit
חולית;Holit
חולון;Holon
חוסן;Hosen
הושעיה;Hosha'aya
חולדה;Hulda
עמנואל;Immanu'el
עספיא;Isifya
ירושלים;Jerusalem
כברי;Kabri
כפר קאסם;Kafar Qasem
כלנית;Kallanit
כרמי יוסף;Karme Yosef
כרמי צור;Karme Zur
כרמל;Karmel
כרמיאל;Karmi'el
כפר אדומים;Kefar Adummim
כפר אחים;Kefar Ahim
כפר אביב;Kefar Aviv
כפר ברוך;Kefar Barukh
כפר ביאליק;Kefar Bialik
"כפר ביל""ו";Kefar Bilu
כפר עציון;Kefar Ezyon
כפר הנגיד;Kefar HaNagid
כפר חנניה;Kefar Hananya
כפר האורנים;Kefar HaOranim
"כפר הרי""ף";Kefar Harif
כפר חסידים א';Kefar Hasidim Alef
כפר חיים;Kefar Hayyim
כפר הס;Kefar Hess
כפר קיש;Kefar Kisch
כפר מימון;Kefar Maymon
כפר מנחם;Kefar Menahem
כפר מונש;Kefar Monash
כפר נטר;Kefar Netter
כפר פינס;Kefar Pines
כפר ראש הנקרה;Kefar Rosh HaNiqra
כפר רות;Kefar Rut
כפר סבא;Kefar Sava
כפר שמריהו;Kefar Shemaryahu
כפר שמואל;Kefar Shemu'el
כפר סירקין;Kefar Sirkin
כפר תפוח;Kefar Tappuah
כפר תבור;Kefar Tavor
כפר טרומן;Kefar Truman
כפר ורבורג;Kefar Warburg
כפר ורדים;Kefar Weradim
כפר יעבץ;Kefar Ya'bez
כפר ידידיה;Kefar Yedidya
כפר יחזקאל;Kefar Yehezqel
כפר יהושע;Kefar Yehoshua
כפר יונה;Kefar Yona
כפר זיתים;Kefar Zetim
כליל;Kelil
כרמים;Keramim
כרם בן זמרה;Kerem Ben Zimra
"כרם מהר""ל";Kerem Maharal 
כסלון;Kesalon
כוכב השחר;Kokhav HaShahar
כוכב מיכאל;Kokhav Mikha'el 
כוכב יעקב;Kokhav Ya'aqov
כורזים;Korazim 
להבות חביבה;Lahavot Haviva
לפיד;Lappid
לבון;Lavon
להבים;Lehavim 
לימן;Liman 
לבנים;Livnim
לוד;Lod
לוחמי הגיטאות;Lohame HaGeta'ot 
לוטם;Lotem
לוזית;Luzit
מעגן;Ma'agan
מעלה אדומים;Ma'ale Adummim 
מעלה אפרים;Ma'ale Efrayim
מעלה החמישה;Ma'ale HaHamisha
מעלה מכמש;Ma'ale Mikhmas
מעלה שומרון;Ma'ale Shomeron
מעש;Ma'as
מעגלים;Ma'galim 
מאור;Ma'or
מבועים;Mabbu'im 
מגן שאול;Magen Sha'ul 
מגל;Maggal 
מגשימים;Magshimim
מנוף;Manof
מנות;Manot
מרגליות;Margaliyyot
משען;Mash'en 
מסלול;Maslul
מסד;Massad
מטע;Matta
מתן;Mattan
מזכרת בתיה;Mazkeret Batya
מזור;Mazor
מצובה;Mazzuva
מעונה;Me'ona
מגדים;Megadim
מגידו;Megiddo
מלאה;Mele'a
מנחמיה;Menahemya
מנוחה;Menuha
מרכז שפירא;Merkaz Shappira
מסילת ציון;Mesillat Ziyyon
מיטב;Metav
מטולה;Metula
מבשרת ציון;Mevasseret Ziyyon
מבוא ביתר;Mevo Betar
מבוא דותן;Mevo Dotan
מבוא חורון;Mevo Horon 
מבוא מודיעים;Mevo Modi'im
מדרך עוז;Midrakh Oz
מדרשת בן גוריון;Midreshet Ben Gurion
מגדל;Migdal 
מגדל העמק;Migdal HaEmeq
מגדלים;Migdalim 
מכמנים;Mikhmannim
משגב דב;Misgav Dov
משמר דוד;Mishmar Dawid
משמר השבעה;Mishmar HaShiv'a
משמר הירדן;Mishmar HaYarden 
משמרות;Mishmarot
משמרת;Mishmeret
מצפה אילן;Mitspe Ilan
מצפה;Mizpa
"מצפה אבי""ב";Mizpe Aviv
מצפה רמון;Mizpe Ramon
מצפה יריחו;Mizpe Yeriho
מודיעין עילית;Modi'in Illit
מורן;Moran 
מורשת;Moreshet
מוצא עילית;Moza Illit
נעלה;Na'ale
נחלה;Nahala
נחם;Naham
נצרת;Nazareth
נאות גולן;Ne'ot Golan 
נאות הכיכר;Ne'ot HaKikkar
נחלים;Nehalim
נהורה;Nehora
נחושה;Nehusha
נס ציונה;Nes Ziyyona
נשר;Nesher
נטעים;Neta'im 
נתניה;Netanya
נתיב העשרה;Netiv HaAsara
"נתיב הל""ה";Netiv HaLamed-He
נתיב השיירה;Netiv HaShayyara
נתיבות;Netivot
נטועה;Netu'a
נבטים;Nevatim 
נווה אילן;Newe Ilan
נווה מיכאל;Newe Mikha'el
נווה מבטח;Newe Mivtah
נווה שלום;Newe Shalom
נווה אור;Newe Ur
נווה ימין;Newe Yamin
נווה ירק;Newe Yaraq
נווה זיו;Newe Ziv
נצר חזני;Nezer Hazzani                                     
"ניל""י";Nili
ניר עם;Nir Am
ניר עקיבא;Nir Aqiva
ניר גלים;Nir Gallim
"ניר ח""ן";Nir Hen
ניר משה;Nir Moshe
ניר יפה;Nir Yafe
ניר ישראל;Nir Yisra'el
ניר צבי;Nir Zevi
נירית;Nirit
ניצן;Nizzan
ניצני עוז;Nizzane Oz
נועם;No'am
נוף איילון;Nof Ayyalon
נופך;Nofekh
נופים;Nofim
נופית;Nofit
נוגה;Nogah
נוקדים;Noqedim
אופקים;Ofaqim
עופר;Ofer
עפרה;Ofra
עולש;Olesh
עומר;Omer
אור עקיבא;Or Aqiva
אור יהודה;Or Yehuda
אורה;Ora
אורנית;Oranit
אורות;Orot
עתניאל;Otni'el
עוצם;Ozem
"פעמי תש""ז";Pa'ame Tashaz
פרוד;Parod
פטיש;Pattish
פדיה;Pedaya
פדואל;Pedu'el
פדויים;Peduyim
פני חבר;Pene Hever
פקיעין חדשה;Peqi'in Hadasha
פרזון;Perazon
פתח תקווה;Petah Tiqwa
פתחיה;Petahya
פצאל;Peza'el
פורת;Porat
קדרים;Qaddarim
קלנסווה;Qalansawe
קרני שומרון;Qarne Shomeron
קצרין;Qazrin
קדר;Qedar
קדומים;Qedumim
קלחים;Qelahim
קיסריה;Qesaryya
קשת;Qeshet
קדמת צבי;Qidmat Zevi
קדרון;Qidron
רעננה;Ra'annana
רמת דוד;Ramat Dawid
רמת גן;Ramat Gan 
רמת השרון;Ramat HaSharon
רמת רזיאל;Ramat Razi'el
רמת ישי;Ramat Yishay
רמת צבי;Ramat Zevi
רמלה;Ramla 
רמות נפתלי;Ramot Naftali
רנן;Rannen
רקפת;Raqqefet
רגבים;Regavim
רגבה;Regba
ריחן;Rehan 
רחוב;Rehov
רחובות;Rehovot
רכסים;Rekhasim 
רבבה;Revava
רווחה;Rewaha
רוויה;Rewaya
רימונים;Rimmonim 
רינתיה;Rinnatya
ראשון לציון;Rishon LeZiyyon
רשפון;Rishpon
רועי;Ro'i
ראש העין;Rosh HaAyin
ראש פינה;Rosh Pinna
ראש צורים;Rosh Zurim
רוחמה;Ruhama
סאג'ור;Sajur
סלעית;Sal'it
ספיר;Sappir
שדי אברהם;Sede Avraham
שדה דוד;Sede Dawid
שדה אליעזר;Sede Eli'ezer
שדה משה;Sede Moshe
שדה נחום;Sede Nahum
שדה נחמיה;Sede Nehemya
שדה עוזיהו;Sede Uzziyyahu
שדה ורבורג;Sede Warburg
שדה יצחק;Sede Yizhaq
שדה צבי;Sede Zevi
שדרות;Sederot
שדות מיכה;Sedot Mikha
שניר;Senir
שעל;Sha'al
שער אפרים;Sha'ar Efrayim
שערי תקווה;Sha'are Tiqwa
שדמות דבורה;Shadmot Devora
שדמות מחולה;Shadmot Mehola
שפיר;Shafir
שחר;Shahar
שמרת;Shamerat
שקד;Shaqed
שרונה;Sharona
שרשרת;Sharsheret
שבי ציון;Shave Ziyyon
שאר ישוב;She'ar Yashuv
שפרעם;Shefar'am
שפר;Shefer
שכניה;Shekhanya
שלומי;Shelomi
שתולה;Shetula
שתולים;Shetulim
שזור;Shezor
שיבולים;Shibbolim 
שילה;Shilo
שמשית;Shimshit
שלומית;Shlomit                                           
שואבה;Sho'eva
שוהם;Shoham 
שוקדה;Shoqeda
שורשים;Shorashim
שורש;Shoresh
שובל;Shoval
שובה;Shuva
סוסיה;Suseya
תעוז;Ta'oz
טל שחר;Tal Shahar
"תלמי ביל""ו";Talme Bilu
תלמי אלעזר;Talme El'azar
תלמי יפה;Talme Yafe
תלמי יחיאל;Talme Yehi'el
תלמי יוסף;Talme Yosef
טלמון;Talmon
תרום;Tarum
תל עדשים;Tel Adashim 
תל מונד;Tel Mond
תל יצחק;Tel Yizhaq
טללים;Telalim
תלמים;Telamim
טנא;Tene
תנובות;Tenuvot
תקוע;Teqoa
תקומה;Tequma
טבריה;Tiberias
תדהר;Tidhar
תפרח;Tifrah
תימורים;Timmorim
תמרת;Timrat
טירת כרמל;Tirat Karmel
טירת יהודה;Tirat Yehuda
אושה;Usha
עוזה;Uza
ורד יריחו;Wered Yeriho
יערה;Ya'ara
יד בנימין;Yad Binyamin
יד חנה;Yad Hanna
יד נתן;Yad Natan
"יד רמב""ם";Yad Rambam             
יגל;Yagel
יכיני;Yakhini
ינוב;Yanuv
יקיר;Yaqir
ירחיב;Yarhiv
יסעור;Yas'ur
ישרש;Yashresh
יתד;Yated
יבנה;Yavne
יבנאל;Yavne'el
יציץ;Yaziz
יעף;Ye'af
יחיעם;Yehi'am
ירוחם;Yeroham
יסוד המעלה;Yesud HaMa'ala
יבול;Yevul
יפעת;Yif'at
ינון;Yinnon
ישעי;Yish'i
יצהר;Yizhar
יקנעם עילית;Yoqne'am Illit
יושיביה;Yoshivya
יובל;Yuval
יובלים;Yuvallim
צפרירים;Zafririm
זנוח;Zanoah
זבדיאל;Zavdi'el
צפת;Zefat
זכריה;Zekharya
צלפון;Zelafon
זרחיה;Zerahya
זרועה;Zeru'a
צרופה;Zerufa
זיתן;Zetan
זכרון יעקב;Zikhron Ya'aqov
ציפורי;Zippori
צבעון;Ziv'on
צופית;Zofit
זוהר;Zohar
צופים;Zufim
צור הדסה;Zur Hadassa
צור משה;Zur Moshe
צור נתן;Zur Natan
צור יצחק;Zur Yizhaq
צוריאל;Zuri'el
צורית;Zurit
בן שמן;Ben Shemen
טל אל;Tal-El
זרעית;Zar'it
קדיתא;Kaddita
פוריה נווה עובד;Poria - Neve Oved
סתריה;Sitriyya
בית יצחק שער חפר;Bet Yizhaq-Sh. Hefer
קרית שדה התעופה / איירפורט סיטי;Qiryat Airport
מרחביה מושב;Merhavya(Moshav)
חמד;Hemed
מועצה אזורית לב השרון;Lev HaSharon
קציר;Katzir
כפר אלדד;Kefar Eldad
בית שיקמה;Beit Shikma
אשדות יעקב איחוד;Ashdot Ya'aqov(Ihud)
מרחביה קיבוץ;Merhavya(Qibbuz)
סביון;Savyon
חפצי בה;Hefzi-Bah
קרית נטפים;Qiryat Netafim
בני דקלים;Bnei Dekalim
אליאב;Eliav
יקנעם;Yoqne'am Illit
ביריה;Biriyya
כינרת מושבה;Kinneret(Moshava)
תושיה;Tushia
חרות;Herut
צפריה;Zafriyya
אל רום;El-Rom
בית אריה / עופרים;Bet Arye-Ofarim
באר גנים;Be'er Ganim
קרית יערים;Qiryat Ye'arim
חד נס;Had-Nes
שריגים;Sarigim (Li-On)
כוכב יאיר / צור יגאל;Kokhav Ya'ir
קרית שמונה;Qiryat Shemona
בנימינה גבעת עדה;Binyamina-Giv'at Ada
אילניה;Ilaniyya
פוריה כפר עבודה;Poriyya-Kefar Avoda
קרית ארבע;Qiryat Arba
דאלית אל כרמל;Daliyat Al-Karmel
כפר רתמים;Retamim
מעלות תרשיחא;Ma'alot-Tarshiha
קדימה צורן;Qadima- Zoran 
הודיה;Hodiyya
נהריה;Nahariyya
פוריה עילית;Poriyya Illit
קרית טבעון;Qiryat Tiv'on
מודיעין מכבים רעות;Modi'in-Makkabbim-Re'ut
קרית מוצקין;Qiryat Motzkin
קרית גת;Qiryat Gat
גני מודיעין;Ganei Modi'in
יהוד מונוסון;Yehud
קרית עקרון;Qiryat Eqron
פרדסיה;Pardesiyya
פרדס חנה כרכור;Pardes Hanna-Karkur
אדם - גבע בנימין;Geva Binyamin
קרית אתא;Qiryat Atta
הרצליה;Herzliyya
קרית ים;Qiryat Yam
קרית אונו;קריית אונו
קרית ביאליק;Qiryat Bialik
מיתר / כרמית;Metar
נצרת עילית / נוף הגליל;Nof HaGalil
תל אביב יפו;Tel Aviv - Yafo
קרית מלאכי;Qiryat Mal'akhi
